PlayerName,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Michael Massey,97,348,380,88,21,1,9,40,41,21,84,5,0.254,0.22,360.97,27684
Yan Gomes,66,250,270,61,12,1,8,28,31,13,51,2,0.245,0.189,481.64,9627
Nolan Gorman,91,348,382,82,15,1,16,45,49,27,110,2,0.236,0.287,376.62,22263
Kevin Newman,117,448,483,119,24,2,7,47,45,26,63,9,0.266,0.129,479.32,17696
Kevin Kiermaier,99,347,382,79,17,2,9,42,39,26,98,10,0.229,0.256,508.33,11038
Carlos Santana,117,427,501,102,18,1,17,59,60,66,86,1,0.238,0.171,446.53,2396
AvisaÃ­l GarcÃ­a,128,492,539,121,21,1,17,57,64,33,139,7,0.247,0.257,335.2,5760
Luis Campusano,66,238,263,57,11,1,8,29,30,19,54,1,0.241,0.204,999,22217
Chas McCormick,102,359,410,81,14,1,12,45,44,42,111,6,0.227,0.272,421.92,19599
Victor Caratini,62,212,242,49,9,0,7,26,25,23,55,1,0.232,0.228,643.32,14968
MartÃ­n Maldonado,99,334,375,67,12,1,12,40,40,30,111,2,0.2,0.296,571.74,6887
Royce Lewis,57,203,224,54,13,1,7,27,28,15,46,6,0.268,0.204,520.01,20437
Esteury Ruiz,92,309,349,73,16,1,7,39,33,27,74,25,0.237,0.212,227.32,21780
Mitch Garver,96,351,401,79,15,1,16,46,48,41,109,3,0.224,0.272,349.45,15161
Jake Rogers,78,261,295,53,10,2,10,32,31,27,87,6,0.204,0.296,668.43,19452
Lourdes Gurriel Jr.,117,439,479,123,27,1,13,53,56,30,87,4,0.28,0.182,231.93,19238
Nick Allen,100,355,393,82,19,1,5,37,33,28,74,8,0.232,0.189,582.32,22277
Gio Urshela,99,373,407,97,19,2,10,44,47,27,79,1,0.261,0.195,412.37,10681
Rodolfo Castro,91,323,359,74,14,3,12,40,43,26,90,5,0.229,0.251,377.5,21987
Christian Arroyo,81,297,325,78,17,1,9,35,38,18,62,5,0.263,0.191,476.91,16434
Brett Baty,62,217,244,54,10,0,8,28,29,20,63,2,0.249,0.26,358.46,26123
Spencer Steer,123,425,480,99,22,1,17,53,56,41,110,3,0.232,0.229,379.36,26323
Brandon Marsh,128,449,498,104,20,4,11,52,48,37,157,13,0.232,0.315,301.11,20202
Nicky Lopez,97,347,384,88,15,3,2,39,31,28,54,13,0.254,0.141,532.39,19339
Trayce Thompson,87,308,349,66,13,1,16,41,45,33,117,4,0.215,0.337,472.26,9952
JesÃºs SÃ¡nchez,73,273,303,66,12,2,12,35,38,24,76,2,0.243,0.252,435.53,19913
Wil Myers,131,504,563,124,28,1,20,64,69,50,159,7,0.246,0.283,243.3,10047
Alex Kirilloff,94,353,389,91,18,1,13,44,47,27,84,2,0.257,0.217,347.2,20325
Vaughn Grissom,58,210,233,57,11,1,5,26,25,16,40,5,0.27,0.173,177.32,26031
Dominic Smith,109,426,476,109,26,1,13,55,51,36,100,3,0.255,0.21,471.37,15653
Tom Murphy,55,192,218,43,8,0,8,24,25,21,65,1,0.223,0.296,600.72,13499
Harold RamÃ­rez,97,380,410,106,23,1,9,45,48,20,70,5,0.28,0.172,389.66,14387
Jared Walsh,115,426,472,104,21,2,19,55,62,36,128,3,0.245,0.272,327.82,18607
Jorge Mateo,97,342,371,77,17,3,8,40,37,19,98,25,0.226,0.264,251.22,17273
David Fletcher,94,344,373,93,18,2,3,40,33,21,37,7,0.27,0.098,558.75,17992
Bryan De La Cruz,100,365,398,95,20,1,12,44,47,24,96,4,0.261,0.24,251.01,19600
Brian Serven,53,185,204,42,8,1,7,23,23,14,44,1,0.226,0.217,717.78,19422
Francisco MejÃ­a,71,261,282,64,15,1,7,29,31,13,57,1,0.244,0.203,477.39,16403
Austin Slater,57,213,247,51,10,1,6,30,24,27,66,9,0.24,0.266,692.58,16153
Michael A. Taylor,81,284,314,67,12,2,7,32,31,22,82,5,0.236,0.263,615.84,11489
C.J. Cron,134,517,578,131,26,2,27,73,85,48,142,1,0.254,0.246,144.54,12546
David Peralta,102,383,425,97,20,2,12,47,49,33,94,3,0.252,0.221,503.72,2136
Oswaldo Cabrera,81,304,335,71,15,2,11,38,39,25,82,8,0.234,0.246,318.36,21707
Carson Kelly,50,182,207,42,9,0,6,23,23,20,42,1,0.233,0.201,450.75,13620
Oscar Colas,126,448,489,113,20,2,16,54,58,28,117,3,0.253,0.24,999,sa3018099
Manny PiÃ±a,41,146,164,32,6,0,5,17,17,13,32,1,0.221,0.197,748.78,2829
Will Brennan,81,299,330,81,18,2,6,36,35,23,50,6,0.272,0.15,458.01,25660
Tucker Barnhart,77,262,293,59,12,0,4,28,25,24,71,1,0.226,0.241,648.39,10200
J.D. Martinez,130,497,553,125,27,1,21,66,73,46,140,1,0.251,0.253,210.46,6184
Evan Longoria,97,368,411,88,18,1,15,46,50,35,107,1,0.238,0.26,525.72,9368
Austin Hedges,71,243,269,49,9,1,8,26,27,18,65,2,0.202,0.244,719.09,12976
Jarred Kelenic,102,366,408,82,18,1,15,44,47,33,104,9,0.223,0.255,244.07,22558
Brice Turang,102,341,384,81,16,1,6,41,35,34,80,11,0.237,0.208,999,sa3008294
Brandon Belt,92,343,399,79,14,1,16,50,52,47,108,2,0.231,0.27,362.49,10264
Kyle Isbel,118,436,481,105,21,4,11,49,49,34,116,17,0.242,0.242,459.79,21614
Isiah Kiner-Falefa,60,228,250,61,11,1,3,27,23,15,34,9,0.265,0.137,459.22,16512
TomÃ¡s Nido,54,193,208,44,9,0,4,20,20,10,52,1,0.227,0.25,735.55,13755
Trey Mancini,125,480,541,118,24,1,17,62,65,47,126,1,0.245,0.233,257.09,15149
Roberto PÃ©rez,53,183,208,37,6,1,6,20,20,19,67,1,0.2,0.321,747.76,2900
Max Stassi,60,216,244,46,9,1,7,25,26,22,71,1,0.212,0.29,551.34,10059
Nick Castellanos,141,552,602,143,32,1,20,69,76,37,137,5,0.26,0.227,125.7,11737
J.D. Davis,76,271,313,65,13,1,9,35,34,33,96,2,0.241,0.305,439.46,16219
Victor Robles,122,424,470,97,21,2,9,48,43,28,117,17,0.229,0.25,503.45,18363
Tyrone Taylor,96,347,382,80,16,2,14,43,46,24,93,5,0.231,0.242,539.47,13675
Trevor Story,58,223,250,54,13,1,9,30,30,22,67,9,0.239,0.268,553.87,12564
Nick Senzel,110,416,460,104,22,1,10,49,45,34,82,11,0.251,0.179,537.43,19293
Matt Carpenter,94,333,389,74,16,1,14,47,47,45,106,2,0.224,0.272,493.53,8090
