PlayerName,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Korey Lee,49,153,33,6,0,4,17,16,10,49,2,0.215,0.298,698.87,25543
Curt Casali,58,180,38,7,0,7,21,23,21,62,0,0.211,0.302,718.54,12510
Kerry Carpenter,95,350,83,18,2,12,41,44,24,90,4,0.238,0.237,420.17,25961
Josh Harrison,71,251,61,12,1,4,28,26,14,47,3,0.245,0.174,661.75,8202
Keston Hiura,67,232,52,10,1,11,33,32,21,94,5,0.223,0.362,542.62,20003
Donny Sands,27,92,21,5,0,2,9,10,7,20,0,0.231,0.203,749.36,18603
TomÃ¡s Nido,65,214,47,9,0,3,20,21,12,57,1,0.219,0.245,735.55,13755
Sal Frelick,33,124,33,7,1,2,15,13,9,20,3,0.262,0.15,999,sa3017047
Carter Kieboom,49,173,41,8,0,4,20,19,18,44,1,0.237,0.226,740.13,19958
Corey Dickerson,94,339,88,18,2,7,39,37,19,63,4,0.259,0.174,582.53,10762
Ben Gamel,34,119,29,6,1,3,15,14,14,34,2,0.239,0.248,748.99,12160
Ezequiel Duran,56,206,47,11,1,5,24,22,12,59,5,0.231,0.265,644.39,23733
OdÃºbel Herrera,36,125,31,6,1,3,15,14,9,25,2,0.25,0.187,999,11476
Cavan Biggio,67,224,48,11,1,6,28,25,29,70,3,0.217,0.27,578.75,19252
Sam Huff,22,71,15,3,0,3,8,9,5,27,0,0.217,0.349,661.88,22209
Vidal BrujÃ¡n,28,97,23,5,1,2,13,9,7,21,6,0.235,0.196,592.72,20536
Luis Torrens,30,96,22,4,0,3,10,11,7,26,0,0.232,0.25,749.95,15905
AJ Pollock,100,361,85,19,1,11,42,44,25,86,5,0.234,0.218,443.62,9256
Rob Refsnyder,43,139,35,7,0,4,18,16,14,40,1,0.249,0.256,742.97,13770
Matt Duffy,40,136,36,6,0,1,15,13,11,26,1,0.263,0.177,747.11,13836
Victor Reyes,41,145,37,7,1,3,17,15,8,32,3,0.256,0.209,741.29,15487
Zach McKinstry,26,89,21,4,1,2,11,10,8,23,2,0.242,0.23,716.63,19392
Elly De La Cruz,44,171,42,9,1,5,22,20,10,59,5,0.243,0.321,999,sa3009289
Jonathan Villar,36,125,30,5,1,3,17,13,10,36,7,0.237,0.261,742.49,10071
Alex Call,81,272,62,13,1,7,33,29,25,67,6,0.229,0.221,687.01,19296
