PlayerName,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Jared Triolo,5,16,4,1,0,0,2,2,1,4,0,0.249,0.214,999,sa3010272
Zack Gelof,10,36,8,1,0,1,4,4,3,12,1,0.213,0.317,999,sa3017286
John Hicks,5,15,3,1,0,1,2,2,1,5,0,0.221,0.309,999,12547
Chris Owings,13,39,8,2,0,1,4,4,3,13,1,0.214,0.291,999,10030
Andrelton Simmons,38,124,28,5,0,1,12,10,8,22,2,0.227,0.162,999,10847
Michael Hermosillo,5,13,3,1,0,0,2,1,1,5,0,0.212,0.318,999,16285
Yadiel Hernandez,47,137,33,6,0,3,15,15,11,35,1,0.242,0.232,749.29,19334
David Dahl,3,11,3,1,0,0,1,1,1,3,0,0.234,0.252,739.05,13744
Willie Calhoun,15,51,12,2,0,2,6,6,4,8,0,0.232,0.152,745.37,17838
Matt Thaiss,15,46,10,2,0,1,5,5,5,12,0,0.214,0.239,739.32,19318
Matthew Batten,12,27,6,1,0,0,3,2,2,8,1,0.225,0.259,999,20157
Scott Kingery,9,28,6,1,0,1,3,3,2,10,1,0.209,0.322,722.63,17975
Chadwick Tromp,4,12,3,1,0,0,1,1,1,3,0,0.221,0.25,750.81,16953
Stephen Piscotty,25,70,16,3,0,2,8,8,5,21,1,0.231,0.269,749.83,13367
Brett Sullivan,5,16,4,1,0,0,2,2,1,3,0,0.223,0.165,999,sa857232
Alex Jackson,5,13,3,1,0,0,1,2,1,5,0,0.2,0.351,999,17276
Michael Stefanic,5,15,4,1,0,0,2,1,1,2,0,0.253,0.133,999,25353
Erik GonzÃ¡lez,27,71,17,3,0,1,7,6,3,18,1,0.234,0.232,999,13369
Michael Papierski,11,23,4,1,0,0,2,2,2,6,0,0.195,0.235,999,21386
Greg Allen,24,56,13,2,0,1,8,5,4,16,3,0.232,0.248,750.7,16623
Justin Dirden,11,38,8,2,0,1,4,4,3,13,1,0.215,0.316,999,sa3014986
